// source and thanks to: http://www.golombek.com/locations.html
Bakersfield CA;+35.37500;-119.02200
Balboa Panama;+8.91670;-79.60000
Baldwin Park CA;+34.07000;-117.95800
Bali Indonesia;-8.75000;+115.16670
Baltimore MD;+39.29050;-76.61250
Bamberg Germany;+49.83300;+10.83300
Bandar Abbass Iran;+27.22600;+56.37700
Bandar Lengeh Iran;+26.53300;+54.82500
Bandirma Turkey;+40.30900;+27.97300
Banff AB;+51.18000;-115.55000
Bangalore India;+13.80000;+77.30000
Bangkok Thailand;+13.83330;+100.48330
Bangor ME;+44.80360;-68.77170
Banjul Gambia;+13.33600;-16.65990
Bar Harbor ME;+44.36700;-68.21700
Baraboo WI;+43.48300;-89.73300
Barbados;+13.06670;-59.50000
Barcelona Spain;+41.30200;+2.09200
Barnesville OH;+40.00330;-81.19170
Barranquilla Colombia;+10.90000;-74.78330
Barre VT;+44.19830;-72.50170
Barron WI;+45.40000;-91.85000
Barrow AK;+71.33300;-156.00000
Barstow CA;+34.88300;-117.05000
Bartlesville OK;+36.74500;-95.97670
Barton VT;+44.75000;-72.08300
Basrah Iran;+30.56670;+47.77700
Batesburg SC;+33.88300;-81.56700
Baton Rouge LA;+30.44940;-91.18330
Battle Creek MI;+42.31610;-85.18000
Bay City MI;+43.60110;-83.88750
Bay St Louis MS;+30.31700;-89.33300
Bayonne NJ;+40.66670;-74.12000
Baytown TX;+29.71830;-94.97670
Beach ND;+46.91700;-104.00000
Beatty NV;+36.96700;-116.80000
Beaufort SC;+32.41700;-80.66700
Beaumont TX;+30.08890;-94.10250
Beaver UT;+38.25000;-112.66700
Beaverton OR;+45.48830;-122.80700
Beckley WV;+37.77670;-81.19000
Beijing China;+39.91660;+116.38330
Beirut Lebanon;+33.88330;+35.50000
Beja Portugal;+38.14600;-7.92200
Belem Brazil;-1.38330;-48.48330
Belen NM;+34.66700;-106.75000
Belfast N. Ireland;+54.63000;-5.87000
Belgrade Serbia;+44.80000;+20.53330
Belize City;+15.53330;-88.30000
Belleville IL;+38.51700;-89.98300
Bellevue NE;+41.14500;-95.89170
Bellevue WA;+47.61670;-122.20000
Bellflower CA;+33.89000;-118.14200
Bellingham WA;+48.75050;-122.47700
Bellows Falls VT;+43.13333;-72.45000
Ben Guerir Morocco;+32.12772;-7.87990
Bend OR;+44.06700;-121.28300
Bennington VT;+42.88000;-73.19670
Benton AR;+34.56500;-92.58670
Bergen Norway;+60.29000;+5.22000
Berkeley CA;+37.86940;-122.27100
Berlin Germany;+52.51670;+13.33330
Berlin NH;+44.41700;-71.16700
Bermuda;+32.36700;-64.68300
Bern Switzerland;+46.91670;+7.41670
